ifi_district_name,ifi_state_context,lgd_state_code,lgd_state_name,lgd_district_code,lgd_district_name,census_2001_code,census_2011_code,census_boundary_district_name,census_boundary_state,censuscode,match_method,verification_status,historical_limitation,notes_reason
Chandigarh,Chandigarh; Punjab,4,Chandigarh,44,Chandigarh,1,55,Chandigarh,Chandigarh,55,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chandrapur,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27,Maharashtra,473,Chandrapur,13,509,Chandrapur,Maharashtra,509,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Changlang,Arunachal Pradesh; Assam; Jammu and Kashmir; Punjab; Uttar Pradesh,12,Arunachal Pradesh,229,Changlang,12,253,Changlang,Arunanchal Pradesh,253,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Charaideo,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,708,Charaideo,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Charki Dadri,Bihar; Haryana; Kerala; Madhya Pradesh; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Chatra,Jharkhand,20,Jharkhand,323,Chatra,3,347,Chatra,Jharkhand,347,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chengalpattu,Tamil Nadu,33,Tamil Nadu,730,Chengalpattu,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Chennai,Madras; Tamil Nadu,33,Tamil Nadu,568,Chennai,2,603,Chennai,Tamil Nadu,603,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chhatarpur,Andhra Pradesh; Bihar; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,398,Chhatarpur,9,425,Chhatarpur,Madhya Pradesh,425,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chhatisgarh,Chhattisgarh; Madhya Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Chhindwara,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,399,Chhindwara,43,455,Chhindwara,Madhya Pradesh,455,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chikkaballapura,Karnataka; Kerala,29,Karnataka,630,Chikkaballapura,19,582,Chikkaballapura,Karnataka,582,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chikkamagaluru,Karnataka; Kerala,29,Karnataka,532,Chikkamagaluru,17,570,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Chikodi,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Chirang,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,612,Chirang,0,320,Chirang,Assam,320,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chitradurga,Karnataka; Kerala,29,Karnataka,533,Chitradurga,13,566,Chitradurga,Karnataka,566,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chitrakoot,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9,Uttar Pradesh,136,Chitrakoot,41,171,Chitrakoot,Uttar Pradesh,171,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chittoor,Andhra Pradesh; Madhya Pradesh,28,Andhra Pradesh,503,Chittoor,23,554,Chittoor,Andhra Pradesh,554,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Chittorgarh,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8,Rajasthan,95,Chittorgarh,29,126,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Chota Udaipur,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Chumanung,Jammu and Kashmir,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Churachandpur,Manipur,14,Manipur,254,Churachandpur,3,274,Churachandpur,Manipur,274,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Churu,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8,Rajasthan,96,Churu,4,102,Churu,Rajasthan,102,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Coimbatore,Tamil Nadu,33,Tamil Nadu,569,Coimbatore,12,632,Coimbatore,Tamil Nadu,632,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Cooch Behar,West Bengal,19,West Bengal,308,Cooch Behar,3,329,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Cuddalore,Tamil Nadu,33,Tamil Nadu,570,Cuddalore,18,617,Cuddalore,Tamil Nadu,617,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Cuttack,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Dadra And Nagar Haveli,Dadar&Nagar Haveli; Dadra and Nagar Haveli,38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,1,496,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context does not uniquely confirm LGD state name; manual review required. LGD district has no exact Census boundary pair.
Dahod,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,445,Dahod,18,485,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Dakshin Bastar Dantewada,Chhattisgarh,22,Chhattisgarh,376,Dakshin Bastar Dantewada,16,416,Dakshin Bastar Dantewada,Chhattisgarh,416,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dakshin Dinajpur,Andhra Pradesh; Assam; Bihar; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Odisha; Punjab; Uttar Pradesh; Uttar pradesh; West Bengal,19,West Bengal,310,Dakshin Dinajpur,5,331,Dakshin Dinajpur,West Bengal,331,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dakshina Kannada,Andhra Pradesh; Assam; Karnataka; Kerala,29,Karnataka,534,Dakshina Kannada,24,575,Dakshina Kannada,Karnataka,575,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Damoh,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,400,Damoh,12,428,Damoh,Madhya Pradesh,428,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dangs,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24,Gujarat,444,Dangs,23,489,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Darbhanga,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Jharkhand; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,10,Bihar,195,Darbhanga,13,215,Darbhanga,Bihar,215,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Darjeeling,Andhra Pradesh; Assam; Bihar; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Odisha; Punjab; Uttar Pradesh; Uttar pradesh; West Bengal,19,West Bengal,309,Darjeeling,1,327,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Darjeelingm,West Bengal,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Darrang,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Manipur; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,283,Darrang,8,325,Darrang,Assam,325,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Datia,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,401,Datia,5,422,Datia,Madhya Pradesh,422,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dausa,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8,Rajasthan,97,Dausa,11,109,Dausa,Rajasthan,109,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Davangere,Karnataka; Kerala,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Davangere����,Karnataka,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Dehradun,Uttar Pradesh; Uttarakhand,5,Uttarakhand,49,Dehradun,5,60,Dehradun,Uttarakhand,60,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Deogarh,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Deoghar,Bihar; Jharkhand,20,Jharkhand,324,Deoghar,7,350,Deoghar,Jharkhand,350,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Deoria,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9,Uttar Pradesh,137,Deoria,60,190,Deoria,Uttar Pradesh,190,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Devbhumi Dwarka,Gujarat,24,Gujarat,674,Devbhumi Dwarka,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Devbhumi Dwarka Dwarka,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Dewas,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,402,Dewas,23,437,Dewas,Madhya Pradesh,437,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhalai,Tripura,16,Tripura,269,Dhalai,3,291,Dhalai,Tripura,291,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhamtari,Chhattisgarh; Madhya Pradesh,22,Chhattisgarh,377,Dhamtari,13,412,Dhamtari,Chhattisgarh,412,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhanbad,Jharkhand,20,Jharkhand,325,Dhanbad,12,354,Dhanbad,Jharkhand,354,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhar,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,403,Dhar,25,438,Dhar,Madhya Pradesh,438,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dharashiv,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27,Maharashtra,488,Dharashiv,29,525,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Dharmapuri,Tamil Nadu,33,Tamil Nadu,571,Dharmapuri,5,630,Dharmapuri,Tamil Nadu,630,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dharwad,Karnataka; Kerala,29,Karnataka,536,Dharwad,9,562,Dharwad,Karnataka,562,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhemaji,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,284,Dhemaji,13,308,Dhemaji,Assam,308,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhenkanal,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,21,Odisha,352,Dhenkanal,14,383,Dhenkanal,Odisha,383,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dholpur,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8,Rajasthan,98,Dholpur,8,106,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Dhubri,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,285,Dhubri,2,301,Dhubri,Assam,301,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dhule,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27,Maharashtra,474,Dhule,2,498,Dhule,Maharashtra,498,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dibang Valley,Arunachal Pradesh; Assam; Jammu and Kashmir; Punjab; Uttar Pradesh,12,Arunachal Pradesh,230,Dibang Valley,10,257,Dibang Valley,Arunanchal Pradesh,257,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dibrugarh,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,286,Dibrugarh,15,310,Dibrugarh,Assam,310,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Different parts of Jammu,Jammu and Kashmir,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Dima Hasao,Arunachal Pradesh; Assam; Bihar; Jammu and Kashmir; Kerala; Odisha; Punjab; Uttar Pradesh; West Bengal,18,Assam,299,Dima Hasao,20,315,Dima Hasao,Assam,315,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dimapur,Nagaland,13,Nagaland,244,Dimapur,6,265,Dimapur,Nagaland,265,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dindigul,Tamil Nadu,33,Tamil Nadu,572,Dindigul,13,612,Dindigul,Tamil Nadu,612,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Dindori,Andhra Pradesh; Bihar; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,404,Dindori,41,453,Dindori,Madhya Pradesh,453,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Districts of Cauvery delta,Tamil Nadu,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
